Repetition,Algorithm,Scenario,NumDevices,VariableParameter,ParameterValue,PayloadSize,PacketInterval,MobilityPercentage,SpreadingFactor,SimulationDuration,MobilitySpeed,TotalPackets,Succeed,Lost,Success_Rate,PDR,EnergyEfficiency,AverageToA,AverageSNR,AverageRSSI,TotalEnergyConsumption
1,D-LoRa,S1_Density,500,NumDevices,500,20,5,0,0,1500.0,0,27063,16452,10611,60.7915,60.79,39.94,492.25,-4.23,-119.21,65904.78
1,D-LoRa,S1_Density,500,NumDevices,500,20,5,0,0,1500.0,30,27063,16452,10611,60.7915,60.79,39.94,492.25,-4.23,-119.21,65904.78
1,D-LoRa,S1_Density,500,NumDevices,500,20,5,50,0,1500.0,0,19466,11984,7482,61.5638,61.56,41.16,370.24,-2.53,-117.17,46581.13
1,D-LoRa,S1_Density,500,NumDevices,500,20,5,50,0,1500.0,30,19466,11984,7482,61.5638,61.56,41.16,370.24,-2.53,-117.17,46581.13
1,D-LoRa,S1_Density,500,NumDevices,500,20,40,0,0,12000.0,0,27067,16437,10630,60.7271,60.73,39.39,505.21,-4.26,-119.2,66765.0
1,D-LoRa,S1_Density,500,NumDevices,500,20,40,0,0,12000.0,30,27067,16437,10630,60.7271,60.73,39.39,505.21,-4.26,-119.2,66765.0
1,D-LoRa,S1_Density,500,NumDevices,500,20,40,50,0,12000.0,0,19471,11972,7499,61.4863,61.49,44.45,357.5,-2.55,-117.19,43091.19
1,D-LoRa,S1_Density,500,NumDevices,500,20,40,50,0,12000.0,30,19471,11972,7499,61.4863,61.49,44.45,357.5,-2.55,-117.19,43091.19
1,D-LoRa,S1_Density,600,NumDevices,600,20,5,0,0,1500.0,0,34011,20708,13303,60.8862,60.89,39.68,520.01,-4.05,-119.02,83505.31
1,D-LoRa,S1_Density,600,NumDevices,600,20,5,0,0,1500.0,30,34011,20708,13303,60.8862,60.89,39.68,520.01,-4.05,-119.02,83505.31
1,D-LoRa,S1_Density,600,NumDevices,600,20,5,50,0,1500.0,0,22052,13280,8772,60.2213,60.22,39.61,398.88,-3.63,-118.34,53644.7
1,D-LoRa,S1_Density,600,NumDevices,600,20,5,50,0,1500.0,30,22052,13280,8772,60.2213,60.22,39.61,398.88,-3.63,-118.34,53644.7
1,D-LoRa,S1_Density,600,NumDevices,600,20,40,0,0,12000.0,0,34020,20747,13273,60.9847,60.98,39.2,514.68,-3.92,-118.99,84692.19
1,D-LoRa,S1_Density,600,NumDevices,600,20,40,0,0,12000.0,30,34020,20747,13273,60.9847,60.98,39.2,514.68,-3.92,-118.99,84692.19
1,D-LoRa,S1_Density,600,NumDevices,600,20,40,50,0,12000.0,0,22055,13385,8670,60.6892,60.69,37.43,407.05,-3.34,-117.99,57209.51
1,D-LoRa,S1_Density,600,NumDevices,600,20,40,50,0,12000.0,30,22055,13385,8670,60.6892,60.69,37.43,407.05,-3.34,-117.99,57209.51
1,D-LoRa,S1_Density,700,NumDevices,700,20,5,0,0,1500.0,0,37936,22827,15109,60.1724,60.17,39.97,466.94,-3.9,-118.89,91367.82
1,D-LoRa,S1_Density,700,NumDevices,700,20,5,0,0,1500.0,30,37936,22827,15109,60.1724,60.17,39.97,466.94,-3.9,-118.89,91367.82
1,D-LoRa,S1_Density,700,NumDevices,700,20,5,50,0,1500.0,0,24325,14827,9498,60.9538,60.95,41.55,362.63,-2.32,-116.83,57093.92
